
Rk,Team ▴,GP,W,L,T,OL,PTS,PTS%,GF,GA,SRS,SOS,TG/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO
1,Atlanta Thrashers,82,19,47,11,5,54,.329,187,288,-1.27,-0.04,5.79,37,306,12.09,65,358,81.84,3,12,1984,9.4,2897,.905,
2,Boston Bruins*,82,43,24,6,9,101,.616,236,201,0.33,-0.09,5.33,39,283,13.78,45,349,87.11,14,5,2596,9.1,2052,.904,
3,Buffalo Sabres,82,35,35,11,1,82,.500,213,200,0.09,-0.07,5.04,50,375,13.33,41,304,86.51,7,6,2295,9.3,2111,.910,
4,Calgary Flames,82,32,35,12,3,79,.482,201,220,-0.15,0.08,5.13,55,364,15.11,66,356,81.46,10,5,2207,9.1,2235,.905,
5,Carolina Hurricanes*,82,35,26,16,5,91,.555,217,217,-0.09,-0.09,5.29,63,391,16.11,54,332,83.73,4,11,2347,9.2,2209,.904,
6,Chicago Blackhawks*,82,41,27,13,1,96,.585,216,207,0.19,0.08,5.16,54,302,17.88,63,340,81.47,4,2,2271,9.5,2072,.903,
7,Colorado Avalanche*,82,45,28,8,1,99,.604,212,169,0.58,0.06,4.65,62,344,18.02,41,315,86.98,7,7,2252,9.4,2167,.927,
8,Columbus Blue Jackets,82,22,47,8,5,57,.348,164,255,-0.97,0.14,5.11,50,356,14.04,52,306,83.01,3,8,2046,8.0,2460,.900,
9,Dallas Stars,82,36,28,13,5,90,.549,215,213,0.09,0.07,5.22,60,350,17.14,59,319,81.50,7,8,2335,9.2,2128,.903,
10,Detroit Red Wings*,82,51,17,10,4,116,.707,251,187,0.83,0.05,5.34,73,359,20.33,48,343,86.01,9,7,2538,9.9,2157,.914,
11,Edmonton Oilers,82,38,28,12,4,92,.561,205,182,0.34,0.06,4.72,51,333,15.32,50,348,85.63,12,7,2256,9.1,2115,.916,
12,Florida Panthers,82,22,44,10,6,60,.366,180,250,-0.92,-0.07,5.24,50,341,14.66,76,393,80.66,8,7,2205,8.2,2658,.909,
13,Los Angeles Kings*,82,40,27,11,4,95,.579,214,190,0.35,0.05,4.93,73,353,20.68,49,366,86.61,5,6,2110,10.1,2046,.910,
14,Mighty Ducks of Anaheim,82,29,42,8,3,69,.421,175,198,-0.20,0.08,4.55,43,373,11.53,46,330,86.06,4,9,2142,8.2,2246,.915,
15,Minnesota Wild,82,26,35,12,9,73,.445,195,238,-0.41,0.11,5.28,55,373,14.75,62,362,82.87,11,9,1954,10.0,2296,.897,
16,Montreal Canadiens*,82,36,31,12,3,87,.530,207,209,-0.10,-0.08,5.07,45,301,14.95,38,277,86.28,7,4,2092,9.9,2588,.923,
17,Nashville Predators,82,28,41,13,0,69,.421,196,230,-0.31,0.10,5.20,48,337,14.24,50,354,85.88,6,8,2019,9.7,2307,.903,
18,New Jersey Devils*,82,41,28,9,4,95,.579,205,187,0.15,-0.07,4.78,44,261,16.86,43,265,83.77,2,8,2445,8.4,1892,.905,
19,New York Islanders*,82,42,28,8,4,96,.585,239,220,0.15,-0.08,5.60,59,363,16.25,52,366,85.79,17,10,2319,10.3,2276,.907,
20,New York Rangers,82,36,38,4,4,80,.488,227,258,-0.43,-0.05,5.91,48,326,14.72,80,398,79.90,8,5,2392,9.5,2612,.904,
21,Ottawa Senators*,82,39,27,9,7,94,.573,243,208,0.36,-0.07,5.50,55,331,16.62,48,307,84.36,11,5,2469,9.8,2123,.903,
22,Philadelphia Flyers*,82,42,27,10,3,97,.591,234,192,0.41,-0.11,5.20,39,300,13.00,40,293,86.35,8,10,2442,9.6,2132,.913,
23,Phoenix Coyotes*,82,40,27,9,6,95,.579,228,210,0.29,0.07,5.34,53,340,15.59,60,356,83.15,8,6,2179,10.5,2343,.913,
24,Pittsburgh Penguins,82,28,41,8,5,69,.421,198,249,-0.66,-0.04,5.45,47,335,14.03,57,352,83.81,5,10,2215,8.9,2388,.898,
25,San Jose Sharks*,82,44,27,8,3,99,.604,248,199,0.62,0.02,5.45,59,369,15.99,54,381,85.83,15,6,2228,11.1,2328,.918,
26,St. Louis Blues*,82,43,27,8,4,98,.598,227,188,0.54,0.07,5.06,62,356,17.42,56,379,85.22,5,7,2380,9.5,1840,.902,
27,Tampa Bay Lightning,82,27,40,11,4,69,.421,178,219,-0.58,-0.08,4.84,46,312,14.74,40,273,85.35,6,9,2179,8.2,2513,.917,
28,Toronto Maple Leafs*,82,43,25,10,4,100,.610,249,207,0.44,-0.08,5.56,54,349,15.47,51,328,84.45,9,6,2339,10.6,2039,.901,
29,Vancouver Canucks*,82,42,30,7,3,94,.573,254,211,0.59,0.07,5.67,69,372,18.55,57,379,84.96,3,9,2326,10.9,2074,.901,
30,Washington Capitals,82,36,33,11,2,85,.518,228,240,-0.25,-0.10,5.71,58,299,19.40,58,325,82.15,2,8,2293,9.9,2350,.901,
,League Average,82,36,32,10,4,85,.520,214,217,-0.03,0.00,5.25,53,337,15.73,54,338,84.14,7,7,2451,8.7,2231,.908,
