,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950,1949,1948,1947,1946,1945,1944,1943,1942,1941,1940,1939,1938,1937,1936,1935,1934,1933,1932,1931,1930,1929,1928,1927,1926,1925,1924,1923,1922,1921,1920,1919,1918
BOS,131,269,246,206,274,212,219,230,0,209,245,236,227,210,214,221,234,282,150,289,332,270,299,289,289,300,301,311,303,336,327,323,316,310,316,333,312,313,345,349,330,330,399,277,303,259,182,174,166,170,198,177,176,220,205,199,195,147,169,177,152,162,178,198,178,167,190,167,179,223,195,160,168,170,156,142,120,92,129,111,124,122,143,179,89,77,97,92,49,0,0,0,0,0,0,0
VAN,127,249,262,272,246,213,222,256,0,235,264,254,239,227,192,224,257,278,153,279,346,285,243,245,251,272,282,282,284,306,303,290,289,256,217,239,235,271,271,224,233,203,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNJ,124,228,248,264,257,222,258,266,0,219,214,248,217,225,196,210,211,252,129,252,218,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TB,148,235,247,217,210,223,253,252,0,245,219,178,201,204,179,151,217,238,120,224,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHIL,133,264,259,236,264,248,214,267,0,229,211,234,240,237,231,242,274,282,150,294,319,252,252,290,307,292,310,335,348,350,326,325,313,327,281,296,323,348,293,273,296,200,207,197,174,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAS,149,222,224,318,272,242,235,237,0,186,224,228,233,227,200,219,214,234,136,277,325,330,258,284,305,281,285,315,322,308,306,319,286,261,273,195,221,224,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DET,124,248,261,229,295,257,254,305,0,255,269,251,253,278,245,250,253,325,180,356,369,320,273,288,313,322,260,266,313,298,263,270,252,268,252,252,183,226,259,255,265,261,209,246,239,245,212,221,224,191,200,184,195,186,167,176,198,183,204,191,222,215,236,229,195,187,190,146,218,214,169,140,112,91,107,99,128,124,127,113,111,95,102,117,72,88,76,0,0,0,0,0,0,0,0,0
NAS,111,237,219,225,213,230,272,259,0,216,183,196,186,199,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHO,125,216,231,225,208,214,216,246,0,188,204,228,214,232,205,224,240,275,157,245,322,251,260,298,300,292,279,295,358,340,311,319,246,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIT,165,282,238,257,264,247,277,244,0,190,189,198,281,241,242,228,285,362,181,299,367,343,342,318,347,319,297,313,276,254,257,310,302,251,281,254,240,339,326,242,257,220,221,182,189,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
