,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950,1949,1948,1947,1946,1945,1944,1943,1942,1941,1940,1939,1938,1937,1936,1935,1934,1933,1932,1931,1930,1929,1928,1927,1926,1925,1924,1923,1922,1921,1920,1919,1918
BOS,584,1101,1115,953,1028,1069,1256,1174,0,1208,1370,1454,1325,865,1182,1117,1369,1039,793,1442,1552,1752,1694,1458,1929,2443,1870,1919,1825,1606,1202,1266,1836,1460,1222,1237,1065,1195,1153,968,1097,1112,1154,1196,1297,1043,764,787,946,858,636,712,810,932,838,849,978,929,863,685,528,601,656,449,434,515,463,273,275,207,364,349,246,330,251,284,303,397,368,385,517,373,403,449,472,558,521,279,264,0,0,0,0,0,0,0
VAN,609,1049,943,1269,1351,1474,1206,1477,0,1274,1178,1342,1113,1047,1764,2166,1607,1546,1093,1923,2326,2075,2063,1644,1569,2196,1917,1813,1451,1474,1639,1840,1892,1808,1134,962,1078,1122,965,952,943,1092,1371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNJ,521,785,931,1155,1053,1075,955,1058,0,1091,1112,1249,1364,1292,1423,1417,2085,1480,840,1343,2134,1894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TB,577,865,905,1377,1306,1040,897,959,0,985,1079,1072,1404,1733,1316,1823,1686,1628,1040,1579,1625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHIL,755,1318,1119,1362,1434,1471,1301,1201,0,1357,1003,1242,1183,1233,1075,1766,1699,1785,741,1697,1887,1838,1945,2067,2317,2194,2082,2025,1540,1488,1337,2493,2621,1844,1548,1668,1547,1980,1969,1750,1756,1233,1060,1123,964,987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAS,516,767,926,940,1041,975,1233,1499,0,1282,1268,1043,1141,994,1381,1198,1652,1553,1144,2007,1709,1777,1839,2204,1836,1680,1720,1418,1161,1252,1329,1932,1872,1198,1312,1332,1231,951,1085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DET,469,699,754,723,824,937,982,1117,0,966,1214,1053,1082,1014,1202,1346,1582,1551,932,1775,1832,2078,1940,2140,2245,2391,2209,2393,1741,1546,1064,1250,1687,1114,1359,1534,1332,1922,1078,917,893,850,988,907,885,759,719,804,1121,771,964,684,655,538,613,758,656,794,827,814,645,694,566,736,621,593,535,298,260,374,371,440,337,250,240,258,244,384,305,368,462,415,429,474,381,395,409,0,0,0,0,0,0,0,0,0
NAS,471,689,720,710,994,1027,1179,1533,0,1360,969,1071,944,946,1420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHO,504,757,863,925,1092,1193,1445,1511,0,1300,1433,1154,1337,940,1412,1602,1582,1622,1141,2143,1851,1907,1675,1639,1843,2278,1537,1774,1540,1579,1089,1314,1191,1251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIT,563,880,1388,1195,1114,1179,1249,1559,0,1270,1125,1248,1585,1221,977,1225,1498,1623,1036,1624,1776,1907,1641,2132,2670,2211,1693,1538,1493,1695,1859,2212,1807,1038,1039,1300,669,1004,1119,950,866,978,1079,1038,677,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MON,636,954,1097,936,1229,1090,1133,1336,0,1039,900,974,1020,1067,1299,1547,1469,1847,840,1524,1788,1556,1425,1590,1537,1830,1802,1372,1464,1371,1116,1463,1398,874,803,745,764,977,1155,761,783,783,1271,892,780,700,879,884,1033,982,751,818,811,756,760,945,870,977,890,1064,777,661,835,736,782,724,561,337,376,557,318,504,435,338,294,340,298,317,314,308,468,450,602,600,465,496,395,458,371,144,174,174,315,221,257,336
