,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950,1949,1948,1947,1946,1945,1944,1943,1942,1941,1940,1939,1938,1937,1936,1935,1934,1933,1932,1931,1930,1929,1928,1927,1926,1925,1924,1923,1922,1921,1920,1919,1918
BOS,14.75,17.20,16.17,16.60,23.64,17.55,17.23,14.83,0,16.00,18.15,13.78,16.41,14.37,17.66,17.27,14.84,18.73,21.80,21.71,20.92,18.97,21.08,23.58,19.81,16.59,19.46,23.06,21.36,23.98,22.19,22.49,25.44,24.39,23.69,20.25,21.20,26.64,28.76,28.89,27.80,28.91,27.68,29.03,22.56,19.07,13.60,11.76,9.84,12.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0
VAN,15.76,19.79,24.32,21.05,18.77,17.07,17.20,18.25,0,14.89,20.76,18.55,17.07,15.79,15.92,12.83,16.83,16.79,19.75,18.82,17.29,19.36,16.62,17.11,19.02,18.62,23.23,21.24,19.49,24.39,27.03,18.99,20.61,16.99,18.98,22.30,19.01,19.71,20.77,19.71,16.67,18.39,16.40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNJ,20.12,21.11,23.45,21.04,24.17,18.72,22.44,18.20,0,16.62,18.13,15.99,14.04,16.45,13.28,13.50,14.33,16.10,11.82,16.04,16.14,17.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TB,19.02,15.24,20.54,19.33,17.78,19.26,18.45,16.70,0,16.22,17.90,14.74,12.50,13.97,13.87,9.35,13.82,20.75,14.12,14.69,17.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHIL,21.64,19.70,16.61,21.38,22.47,21.82,14.10,18.02,0,20.70,14.33,13.00,15.71,20.29,16.84,17.79,14.64,19.66,19.61,20.78,18.05,16.55,20.12,19.23,26.70,18.00,19.15,23.95,21.97,20.25,21.58,26.69,26.98,16.30,25.43,23.29,22.03,28.62,24.90,22.30,28.79,19.40,15.44,15.54,15.21,12.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAS,26.83,16.73,17.49,25.24,25.22,18.79,16.42,14.69,0,19.16,17.22,19.40,21.25,14.98,17.28,15.71,15.84,15.63,19.91,18.13,21.80,22.33,18.82,16.99,21.67,20.04,18.31,22.78,23.87,20.16,20.95,22.25,18.78,18.31,18.87,12.23,13.31,14.13,12.90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DET,18.38,16.11,22.26,19.22,25.50,20.72,16.96,22.13,0,20.06,23.82,20.33,22.14,20.41,16.14,17.59,17.93,21.32,24.19,20.83,24.89,18.65,16.43,16.38,20.74,18.80,20.54,20.68,22.53,22.19,13.81,16.73,18.99,22.10,23.85,20.14,12.59,15.31,21.41,21.53,19.78,20.71,19.59,21.35,17.39,19.20,20.00,17.14,17.41,17.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0
NAS,17.14,21.60,15.24,16.43,15.72,14.80,17.40,18.36,0,16.82,13.88,14.24,14.13,13.49,12.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHO,14.79,13.55,15.92,14.65,14.66,18.58,16.50,17.74,0,14.25,14.29,15.59,16.62,11.94,11.99,14.84,18.11,19.66,19.18,19.39,20.94,20.92,19.42,18.73,22.13,25.46,17.33,20.22,23.81,21.39,23.64,22.56,17.39,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIT,24.71,19.72,15.76,17.18,17.22,20.37,20.30,18.99,0,18.06,18.33,14.03,20.27,15.61,17.91,16.46,21.83,25.95,19.00,18.81,23.86,21.75,22.94,21.34,24.24,22.00,19.58,21.88,17.08,20.59,22.63,24.50,23.00,19.85,21.46,20.31,17.49,24.43,19.81,17.03,17.28,16.08,17.61,16.83,16.50,13.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
