
Rk,Team ▴,GP,W,L,T,OL,PTS,PTS%,GF,GA,SRS,SOS,TG/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO
1,Atlanta Thrashers,82,14,57,7,4,39,.238,170,313,-1.75,0.00,5.89,44,348,12.64,76,386,80.31,6,13,2115,8.0,2533,.880,
2,Boston Bruins,82,24,33,19,6,73,.445,210,248,-0.52,-0.06,5.59,51,355,14.37,55,268,79.48,0,4,2516,8.3,2267,.894,
3,Buffalo Sabres*,82,35,32,11,4,85,.518,213,204,0.01,-0.10,5.09,37,351,10.54,54,361,85.04,8,10,2229,9.6,2202,.910,
4,Calgary Flames,82,31,36,10,5,77,.470,211,256,-0.42,0.13,5.70,59,330,17.88,74,365,79.73,4,8,2468,8.5,2375,.895,
5,Carolina Hurricanes,82,37,35,10,0,84,.512,217,216,-0.10,-0.11,5.28,58,342,16.96,40,253,84.19,3,7,2161,10.0,2132,.903,
6,Chicago Blackhawks,82,33,37,10,2,78,.476,242,245,0.10,0.13,5.94,52,325,16.00,58,355,83.66,10,13,2106,11.5,2383,.903,
7,Colorado Avalanche*,82,42,28,11,1,96,.585,233,201,0.46,0.07,5.29,59,302,19.54,52,335,84.48,3,7,2188,10.6,2276,.915,
8,Dallas Stars*,82,43,23,10,6,102,.622,211,184,0.41,0.08,4.82,54,343,15.74,33,307,89.25,9,9,2099,10.1,2174,.920,
9,Detroit Red Wings*,82,48,22,10,2,108,.659,278,210,0.88,0.05,5.95,69,338,20.41,44,311,85.85,15,6,2620,10.6,2166,.904,
10,Edmonton Oilers*,82,32,26,16,8,88,.537,226,212,0.22,0.05,5.34,53,336,15.77,54,369,85.37,9,4,2310,9.8,2318,.909,
11,Florida Panthers*,82,43,27,6,6,98,.598,244,209,0.28,-0.15,5.52,58,338,17.16,47,323,85.45,2,8,2198,11.1,2427,.916,
12,Los Angeles Kings*,82,39,27,12,4,94,.573,245,228,0.30,0.09,5.77,60,356,16.85,66,373,82.31,4,12,2421,10.1,2280,.904,
13,Mighty Ducks of Anaheim,82,34,33,12,3,83,.506,217,227,0.02,0.14,5.41,55,332,16.57,62,296,79.05,4,8,2352,9.2,2250,.903,
14,Montreal Canadiens,82,35,34,9,4,83,.506,196,194,-0.06,-0.09,4.76,54,323,16.72,40,302,86.75,7,8,2135,9.2,2260,.916,
15,Nashville Predators,82,28,40,7,7,70,.427,199,240,-0.36,0.14,5.35,41,304,13.49,46,309,85.11,9,11,2215,9.0,2492,.907,
16,New Jersey Devils*,82,45,24,8,5,103,.628,251,203,0.46,-0.13,5.54,55,274,20.07,39,313,87.54,9,9,2717,9.2,2096,.906,
17,New York Islanders,82,24,48,9,1,58,.354,194,275,-1.02,-0.03,5.72,45,320,14.06,84,420,80.00,8,8,2147,9.0,2733,.903,
18,New York Rangers,82,29,38,12,3,73,.445,218,246,-0.39,-0.05,5.66,55,325,16.92,49,292,83.22,5,9,2416,9.0,2439,.902,
19,Ottawa Senators*,82,41,28,11,2,95,.579,244,210,0.30,-0.12,5.54,52,310,16.77,34,273,87.55,6,8,2584,9.4,2061,.900,
20,Philadelphia Flyers*,82,45,22,12,3,105,.640,237,179,0.58,-0.13,5.07,69,340,20.29,42,316,86.71,7,7,2495,9.5,1933,.911,
21,Phoenix Coyotes*,82,39,31,8,4,90,.549,232,228,0.15,0.10,5.61,37,310,11.94,43,306,85.95,14,7,2213,10.5,2326,.905,
22,Pittsburgh Penguins*,82,37,31,8,6,88,.537,241,236,-0.03,-0.09,5.82,54,346,15.61,56,321,82.55,7,11,2137,11.3,2349,.903,
23,San Jose Sharks*,82,35,30,10,7,87,.530,225,214,0.23,0.10,5.35,62,377,16.45,61,372,83.60,16,4,2248,10.0,2352,.911,
24,St. Louis Blues*,82,51,19,11,1,114,.695,248,165,1.08,0.07,5.04,61,342,17.84,42,345,87.83,13,3,2445,10.1,1811,.911,
25,Tampa Bay Lightning,82,19,47,9,7,54,.329,204,310,-1.34,-0.05,6.27,51,365,13.97,77,399,80.70,9,7,2084,9.8,2486,.879,
26,Toronto Maple Leafs*,82,45,27,7,3,100,.610,246,222,0.25,-0.05,5.71,57,321,17.76,58,330,82.42,11,5,2161,11.4,2381,.909,
27,Vancouver Canucks,82,30,29,15,8,83,.506,227,237,-0.01,0.11,5.66,51,323,15.79,63,322,80.43,9,7,2187,10.4,2284,.900,
28,Washington Capitals*,82,44,24,12,2,102,.622,227,194,0.28,-0.13,5.13,43,287,14.98,47,341,86.22,9,3,2269,10.0,2267,.916,
,League Average,82,35,32,10,4,85,.516,224,229,-0.06,0.00,5.51,53,331,16.03,55,333,83.64,8,8,2510,8.9,2497,.904,
