Rk,Team,GP,W,L,T,OL,PTS,PTS%,GF,GA,SRS,SOS,TG/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,Conference
1,Atlanta Thrashers,82,33,37,8,4,78,0.476,214,243,-0.38,-0.03,5.57,60,410,14.63,58,391,85.17,11,7,2141,10,2397,0.904,,West
2,Boston Bruins*,82,41,19,15,7,104,0.634,209,188,0.29,0.03,4.84,48,300,16,55,335,83.58,7,13,2500,8.4,2276,0.919,,East
3,Buffalo Sabres,82,37,34,7,4,85,0.518,220,221,0.02,0.04,5.38,58,367,15.8,53,348,84.77,7,9,2301,9.6,2336,0.907,,East
4,Calgary Flames*,82,42,30,7,3,94,0.573,200,176,0.33,0.04,4.59,54,357,15.13,53,346,84.68,11,2,2248,8.9,2082,0.919,,West
5,Carolina Hurricanes,82,28,34,14,6,76,0.463,172,209,-0.46,-0.01,4.65,41,384,10.68,66,359,81.62,9,9,2394,7.2,2142,0.906,,East
6,Chicago Blackhawks,82,20,43,11,8,59,0.36,188,259,-0.84,0.02,5.45,55,349,15.76,63,383,83.55,5,14,2401,7.8,2510,0.901,,East
7,Colorado Avalanche*,82,40,22,13,7,100,0.61,236,198,0.48,0.02,5.29,74,363,20.39,58,357,83.75,7,14,2411,9.8,2318,0.918,,West
8,Columbus Blue Jackets,82,25,45,8,4,62,0.378,177,238,-0.72,0.03,5.06,58,401,14.46,50,337,85.16,5,14,2280,7.8,2613,0.913,,West
9,Dallas Stars*,82,41,26,13,2,97,0.591,194,175,0.22,-0.01,4.5,52,328,15.85,44,311,85.85,5,11,2196,8.8,1896,0.911,,West
10,Detroit Red Wings*,82,48,21,11,2,109,0.665,255,189,0.72,-0.09,5.41,63,314,20.06,42,317,86.75,15,5,2484,10.3,2145,0.915,,West
11,Edmonton Oilers,82,36,29,12,5,89,0.543,221,208,0.21,0.05,5.23,44,338,13.02,66,350,81.14,13,8,2332,9.5,2172,0.906,,West
12,Florida Panthers,82,28,35,15,4,75,0.457,188,221,-0.42,-0.02,4.99,52,310,16.77,51,373,86.33,7,12,2273,8.3,2821,0.924,,East
13,Los Angeles Kings,82,28,29,16,9,81,0.494,205,217,-0.15,0,5.15,50,356,14.04,65,336,80.65,9,4,2349,8.7,2203,0.906,,West
14,Mighty Ducks of Anaheim,82,29,35,10,8,76,0.463,184,213,-0.34,0.01,4.84,56,310,18.06,54,353,84.7,5,4,2438,7.5,2436,0.915,,West
15,Minnesota Wild,82,30,29,20,3,83,0.506,188,183,0.08,0.02,4.52,46,339,13.57,44,285,84.56,7,7,1982,9.5,2379,0.925,,West
16,Montreal Canadiens*,82,41,30,7,4,93,0.567,208,192,0.23,0.04,4.88,55,319,17.24,55,314,82.48,5,6,2270,9.2,2340,0.92,,East
17,Nashville Predators*,82,38,29,11,4,91,0.555,216,217,-0.05,-0.04,5.28,72,428,16.82,64,351,81.77,14,8,2227,9.7,2323,0.912,,West
18,New Jersey Devils*,82,43,25,12,2,100,0.61,213,164,0.54,-0.06,4.6,51,312,16.35,39,266,85.34,8,5,2433,8.8,1997,0.92,,East
19,New York Islanders*,82,38,29,11,4,91,0.555,237,210,0.29,-0.04,5.45,54,325,16.62,52,359,85.52,11,5,2341,10.1,2243,0.907,,East
20,New York Rangers,82,27,40,7,8,69,0.421,206,250,-0.51,0.03,5.56,46,322,14.29,80,388,79.38,6,8,2416,8.5,2392,0.897,,East
21,Ottawa Senators*,82,43,23,10,6,102,0.622,262,189,0.88,-0.01,5.5,80,370,21.62,57,347,83.57,6,8,2421,10.8,2037,0.909,,East
22,Philadelphia Flyers*,82,40,21,15,6,101,0.616,229,186,0.47,-0.05,5.06,65,314,20.7,58,348,83.33,7,3,2411,9.5,2090,0.912,,East
23,Phoenix Coyotes,82,22,36,18,6,68,0.415,188,245,-0.66,0.04,5.28,51,358,14.25,71,398,82.16,9,8,2171,8.7,2498,0.905,,West
24,Pittsburgh Penguins,82,23,47,8,4,58,0.354,190,303,-1.31,0.07,6.01,65,360,18.06,84,369,77.24,7,15,2029,9.4,2707,0.893,,East
25,San Jose Sharks*,82,43,21,12,6,104,0.634,219,183,0.4,-0.04,4.9,56,337,16.62,47,319,85.27,9,9,2300,9.5,2370,0.924,,West
26,St. Louis Blues*,82,39,30,11,2,91,0.555,191,198,-0.09,-0.01,4.74,61,341,17.89,57,369,84.55,7,11,2223,8.6,2098,0.908,,West
27,Tampa Bay Lightning*,82,46,22,8,6,106,0.646,245,192,0.56,-0.09,5.33,55,339,16.22,42,278,84.89,15,4,2460,10,2078,0.911,,East
28,Toronto Maple Leafs*,82,45,24,10,3,103,0.628,242,204,0.48,0.02,5.44,75,373,20.11,64,386,83.42,8,8,2253,10.7,2164,0.907,,East
29,Vancouver Canucks*,82,43,24,10,5,101,0.616,235,194,0.52,0.02,5.23,56,376,14.89,50,360,86.11,5,8,2379,9.9,2181,0.912,,West
30,Washington Capitals,82,23,46,10,3,59,0.36,186,253,-0.8,0.02,5.35,64,334,19.16,75,401,81.3,4,5,1946,9.6,2577,0.905,,East
,League Average,82,35,31,11,5,86,0.522,209,213,-0.04,0,5.15,57,348,16.5,58,351,83.42,8,8,2514,8.3,2364,0.911,,
